"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Enterprise Admins","1","Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-519","","Designated administrators of the enterprise","7/11/2011 12:33:52 PM","5/19/2021 4:18:52 PM","CN=Enterprise Admins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Enterprise Admins"
"OMP APC Report",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-5161","","","9/12/2016 12:46:44 PM","9/17/2021 9:57:36 AM","CN=OMP APC Report,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OMP APC Report"
"Thycotic Admins",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8291","","","5/21/2020 2:15:06 PM","5/19/2021 4:19:17 PM","CN=Thycotic Admins,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/Thycotic Admins"
"OMP_STAFF",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3707","","","1/13/2014 2:53:46 PM","6/18/2021 10:42:01 AM","CN=OMP STAFF,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMP STAFF"
"Terminal Server License Servers",,"Security","DomainLocal","","S-1-5-32-561","","Terminal Server License Servers","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Terminal Server License Servers,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Terminal Server License Servers"
"USON_CLINICAL_OPS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11611","","","9/17/2020 10:30:51 AM","9/21/2021 7:44:47 AM","CN=USON_CLINICAL_OPS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON_CLINICAL_OPS"
"OPTUM_DOCUMENTS_ADMIN_VIEW",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3724","","","2/6/2014 2:18:59 PM","5/19/2021 4:19:03 PM","CN=OPTUM_DOCUMENTS_ADMIN_VIEW,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OPTUM_DOCUMENTS_ADMIN_VIEW"
"Thycotic Tier 1",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8292","","","5/21/2020 2:16:11 PM","5/19/2021 4:19:15 PM","CN=Thycotic Tier 1,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/Thycotic Tier 1"
"Denied RODC Password Replication Group",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-572","","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain","3/9/2013 7:44:46 PM","5/19/2021 4:18:52 PM","CN=Denied RODC Password Replication Group,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Denied RODC Password Replication Group"
"ORTHO APC REPORTS",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5304","","","2/20/2017 1:35:27 PM","7/21/2021 2:12:43 PM","CN=ORTHO APC REPORTS,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/ORTHO APC REPORTS"
"ServiceDesk-Admins",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8844","","","10/19/2020 9:02:35 AM","5/19/2021 4:19:15 PM","CN=ServiceDesk-Admins,OU=Delegated Authority Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Delegated Authority Accounts/ServiceDesk-Admins"
"USON MA",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2072","","","7/27/2011 1:41:08 PM","9/23/2021 2:24:24 PM","CN=USON MA,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON MA"
"Varian VPN Support",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8302","","","6/23/2020 11:11:47 AM","5/19/2021 4:19:12 PM","CN=Varian VPN Support,OU=Varian,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Varian/Varian VPN Support"
"MTS_OPT_PROD",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3730","","","2/19/2014 2:46:55 PM","10/4/2021 7:29:26 AM","CN=MTS_OPT_PROD,OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_OPT/MTS_OPT_PROD"
"Administrators","1","Security","DomainLocal","","S-1-5-32-544","","Administrators have complete and unrestricted access to the computer/domain","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Administrators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Administrators"
"All Staff and All Providers",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3758","","All Clinics-Staff and All Providers","5/28/2014 2:00:11 PM","9/23/2021 10:24:19 AM","CN=All Staff and Providers,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/All Staff and Providers"
"Medical Records Users",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11632","","","10/22/2020 3:37:47 PM","9/8/2021 12:29:43 PM","CN=Medical Records Users,OU=MEDICAL RECORDS,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/MEDICAL RECORDS/Medical Records Users"
"USON LEADS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4094","","","3/8/2016 12:49:12 PM","5/19/2021 4:19:12 PM","CN=USON LEADS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON LEADS"
"MTS_USON_DEMO",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3914","","Users that have acces ot USON Demo","1/30/2015 9:52:20 AM","5/19/2021 4:19:14 PM","CN=MTS_USON_DEMO,OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_USON/MTS_USON_DEMO"
"Neighborhood Home Care Voicemail",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5358","","","4/28/2017 10:16:35 AM","5/19/2021 4:19:13 PM","CN=Neighborhood Home Care Voicemail,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/Neighborhood Home Care Voicemail"
"Morgan Scientific VPN Support",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8850","","VPN, and Local Admin on Compas PFT Servers","10/27/2020 11:01:12 AM","8/17/2021 10:02:27 AM","CN=Morgan Scientific Vendor Support,OU=Morgan Scientific,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Morgan Scientific/Morgan Scientific Vendor Support"
"Domain Admins","1","Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-512","","Designated administrators of the domain","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Domain Admins"
"USON MBAM ADMIN",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5156","","","8/31/2016 10:21:31 AM","5/19/2021 4:19:03 PM","CN=USON MBAM ADMIN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON MBAM ADMIN"
"ExchangeSupport",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3677","","for emails Exchange system to notify admins of status","10/16/2013 3:51:02 PM","9/27/2021 1:26:26 PM","CN=ExchangeSupport,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/ExchangeSupport"
"USON PATIENT SERVICES",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2082","","","7/27/2011 1:46:57 PM","6/8/2021 12:11:20 PM","CN=USON PATIENT SERVICES,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON PATIENT SERVICES"
"VPN CITRIX ACCESS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4215","","vpn access MTS citrix nextgen only","1/13/2014 12:47:02 PM","5/19/2021 4:19:15 PM","CN=VPN CITRIX ACCESS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/VPN CITRIX ACCESS"
"Enterprise Key Admins","1","Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-527","","Members of this group can perform administrative actions on key objects within the forest.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Enterprise Key Admins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Enterprise Key Admins"
"USON OPEN ACCESS FILES",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3996","","Access to make changes \\optumdocuments\DOCUMENTS\open access files","5/20/2015 10:35:08 AM","5/19/2021 4:19:03 PM","CN=USON OPEN ACCESS FILES,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON OPEN ACCESS FILES"
"USON SURGERY SCHEDULING",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2080","","","7/27/2011 1:45:15 PM","5/19/2021 4:19:12 PM","CN=USON SURGERY SCHEDULING,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SURGERY SCHEDULING"
"USON SPECIAL",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2079","","","7/27/2011 1:44:28 PM","5/19/2021 4:19:13 PM","CN=USON SPECIAL,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SPECIAL"
"Key Admins","1","Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-526","","Members of this group can perform administrative actions on key objects within the domain.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Key Admins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Key Admins"
"MTS_USON_DESKTOPPROD",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5150","","","8/10/2016 9:06:33 AM","5/19/2021 4:19:12 PM","CN=MTS_USON_DESKTOPPROD,OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_USON/MTS_USON_DESKTOPPROD"
"OMP_UNENROLLED _PATIENTS",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4273","","","9/2/2015 1:00:29 PM","5/28/2021 5:42:09 PM","CN=OMP_UNENROLLED _PATIENTS,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/OMP_UNENROLLED _PATIENTS"
"MSODC01 $ Acronis Remote Users",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8163","","Members are allowed to remotely connect to the machine by using Acronis Backup Management Console.","11/25/2019 4:04:15 PM","5/19/2021 4:19:15 PM","CN=MSODC01 $ Acronis Remote Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/MSODC01 $ Acronis Remote Users"
"MTS_OPT_DEMO",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3732","","Users that have access to OMP train demo","2/19/2014 2:48:54 PM","10/4/2021 7:29:26 AM","CN=MTS_OPT_DEMO,OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_OPT/MTS_OPT_DEMO"
"Aura Reports",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5357","","","4/27/2017 7:50:55 AM","5/19/2021 4:19:13 PM","CN=Aura Reports,OU=Varian,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Varian/Aura Reports"
"EXCHANGE RECOVERY ADMINISTRATORS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-1126","","Access to Run ExMege on EXCHANGE SVR","7/25/2011 8:16:08 AM","5/19/2021 4:19:26 PM","CN=EXCHANGE RECOVERY ADMINISTRATORS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/EXCHANGE RECOVERY ADMINISTRATORS"
"USON_CLINICAL_OPS_DL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-11649","","","11/10/2020 2:42:59 PM","5/19/2021 4:19:15 PM","CN=USON_CLINICAL_OPS_DL,OU=Groups,OU=ClinicalOps,OU=NV017 - MSO Office Tenaya,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV017 - MSO Office Tenaya/ClinicalOps/Groups/USON_CLINICAL_OPS_DL"
"Cert Publishers",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-517","","Members of this group are permitted to publish certificates to the Active Directory","7/11/2011 12:33:52 PM","5/19/2021 4:18:52 PM","CN=Cert Publishers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Cert Publishers"
"OMP MID-LEVEL",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5138","","","7/7/2016 11:33:14 AM","5/19/2021 4:19:08 PM","CN=OMP MID-LEVEL,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMP MID-LEVEL"
"IT Email To Text",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3827","","","7/15/2014 9:29:30 AM","5/19/2021 4:19:13 PM","CN=IT Email To Text,OU=IT Contacts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/IT Contacts/IT Email To Text"
"USON_BILLING_DL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-11650","","","11/11/2020 3:02:05 PM","5/19/2021 4:19:15 PM","CN=USON_BILLING_DL,OU=Groups,OU=Billing,OU=NV017 - MSO Office Tenaya,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV017 - MSO Office Tenaya/Billing/Groups/USON_BILLING_DL"
"NVCSMedRecVM",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-5204","","","10/19/2016 1:31:07 PM","10/4/2021 7:46:37 AM","CN=NVCSMedRecVM,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/NVCSMedRecVM"
"MTS_USON_PROD_NODRIVEMAPPING",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4237","","","4/28/2014 8:50:08 AM","5/19/2021 4:19:14 PM","CN=MTS_USON_PROD_NODRIVEMAPPING,OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_USON/MTS_USON_PROD_NODRIVEMAPPING"
"MANAGEMENT_BILLING_DL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-11651","","","11/11/2020 3:03:48 PM","5/19/2021 4:19:15 PM","CN=MANAGEMENT_BILLING_DL,OU=Groups,OU=Billing,OU=NV017 - MSO Office Tenaya,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV017 - MSO Office Tenaya/Billing/Groups/MANAGEMENT_BILLING_DL"
"MED_REC_USERS_DL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-11652","","","11/11/2020 3:05:58 PM","5/19/2021 4:19:15 PM","CN=MED_REC_USERS_DL,OU=Groups,OU=Records,OU=NV022 - Records Warehouse,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV022 - Records Warehouse/Records/Groups/MED_REC_USERS_DL"
"IIS_WPG",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-1117","","IIS Worker Process Group","7/12/2011 9:37:59 AM","5/19/2021 4:19:03 PM","CN=IIS_WPG,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/IIS_WPG"
"PHYSICS VPN USERS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4213","","","1/13/2014 11:28:34 AM","5/19/2021 4:19:14 PM","CN=PHYSICS VPN USERS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/PHYSICS VPN USERS"
"MWT_IT_DL",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-11653","","","11/11/2020 3:07:29 PM","5/19/2021 4:19:15 PM","CN=MWT_IT_DL,OU=Groups,OU=InformationTechnology,OU=NV048 - MSO IT Office,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV048 - MSO IT Office/InformationTechnology/Groups/MWT_IT_DL"
"VPN UHG OAF FIRE EYE",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5841","","","2/7/2018 12:16:35 PM","5/19/2021 4:19:14 PM","CN=VPN UHG OAF FIRE EYE,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/VPN UHG OAF FIRE EYE"
"MTS_USON_POPHEALTH",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5140","","","7/13/2016 9:12:19 AM","5/19/2021 4:19:14 PM","CN=MTS_USON_POPHEALTH,OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_USON/MTS_USON_POPHEALTH"
"NVCS APC REPORT",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5303","","","2/20/2017 1:35:11 PM","9/9/2021 11:22:51 AM","CN=NVCS APC REPORT,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/NVCS APC REPORT"
"Service Desk Suggestions",,"Distribution","Universal","John Battista","S-1-5-21-2571279217-2041782082-3149958405-8901","","","12/9/2020 2:11:18 PM","5/19/2021 4:19:17 PM","CN=Service Desk Suggestions,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Service Desk Suggestions"
"ADMIN VPN USERS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4214","","","1/13/2014 12:44:58 PM","9/24/2021 2:05:31 PM","CN=ADMIN VPN USERS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/ADMIN VPN USERS"
"USON TERMINAL USERS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2086","","","7/27/2011 2:12:41 PM","5/19/2021 4:19:03 PM","CN=USON TERMINAL USERS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON TERMINAL USERS"
"LibreNMS.Access",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8903","","","12/17/2020 10:10:47 AM","5/19/2021 4:19:26 PM","CN=LibreNMS.Access,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/LibreNMS.Access"
"USONVSVRDC03 $ Acronis Remote Users",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-4709","","Members are allowed to remotely connect to the machine by using Acronis Backup Management Console.","7/20/2020 3:20:16 PM","5/19/2021 4:19:15 PM","CN=USONVSVRDC03 $ Acronis Remote Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/USONVSVRDC03 $ Acronis Remote Users"
"VPN INTERNAL WEBSITES ACCESS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4023","","VPN Access to Internal Websites for Ernest & Co","8/17/2015 4:34:10 PM","5/19/2021 4:19:03 PM","CN=VPN INTERNAL WEBSITES ACCESS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/VPN INTERNAL WEBSITES ACCESS"
"LAB UPDATES",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5218","","","11/2/2016 11:31:16 AM","9/1/2021 3:00:33 PM","CN=LAB UPDATES,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/LAB UPDATES"
"MSODC02 $ Acronis Remote Users",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-8780","","Members are allowed to remotely connect to the machine by using Acronis Backup Management Console.","7/20/2020 3:23:25 PM","5/19/2021 4:19:15 PM","CN=MSODC02 $ Acronis Remote Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/MSODC02 $ Acronis Remote Users"
"$KM3000-R8L8BA1JTO2D",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3796","","This group is used during Exchange setup and is not intended to be used for other purposes.","6/30/2014 11:29:00 AM","5/19/2021 4:19:25 PM","CN=Exchange Install Domain Servers,CN=Microsoft Exchange System Objects,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange System Objects/Exchange Install Domain Servers"
"Management Billing",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8785","","","7/23/2020 2:16:36 PM","9/1/2021 7:30:10 AM","CN=Management Billing,OU=MANAGEMENT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/MANAGEMENT/Management Billing"
"USON IT","1","Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2067","","USON IT STAFF","7/27/2011 1:35:02 PM","9/27/2021 2:24:12 PM","CN=USON IT,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON IT"
"USON AUTHORIZATIONS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2068","","","7/27/2011 1:38:12 PM","8/31/2021 10:06:22 AM","CN=USON AUTHORIZATIONS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON AUTHORIZATIONS"
"USON SUPERVISORS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2083","","","7/27/2011 2:05:22 PM","5/19/2021 4:19:15 PM","CN=USON SUPERVISORS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SUPERVISORS"
"SPEAdmins",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-11761","","","3/22/2021 10:57:45 AM","5/19/2021 4:19:26 PM","CN=SPEAdmins,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/SPEAdmins"
"MWTO365DC02 $ Acronis Remote Users",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-10605","","Members are allowed to remotely connect to the machine by using Acronis Cyber Backup Management Console.","8/5/2020 12:16:17 PM","5/19/2021 4:19:14 PM","CN=MWTO365DC02 $ Acronis Remote Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/MWTO365DC02 $ Acronis Remote Users"
"NVCS DOCTORS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5203","","","10/18/2016 10:21:38 AM","9/9/2021 11:22:51 AM","CN=NVCS DOCTORS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/NVCS DOCTORS"
"USON STAFF",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2071","","","7/27/2011 1:40:49 PM","9/23/2021 2:24:24 PM","CN=USON STAFF,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON STAFF"
"AGPM Approvers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8802","","","8/6/2020 4:36:41 PM","9/24/2021 2:02:07 PM","CN=AGPM Approvers,OU=AGPM,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/AGPM/AGPM Approvers"
"MWTO365DC01 $ Acronis Remote Users",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-10106","","Members are allowed to remotely connect to the machine by using Acronis Cyber Backup Management Console.","8/5/2020 12:16:54 PM","5/19/2021 4:19:14 PM","CN=MWTO365DC01 $ Acronis Remote Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/MWTO365DC01 $ Acronis Remote Users"
"COMWORX VPN USERS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4212","","AIS_Comwork Vendor","1/13/2014 11:18:36 AM","9/24/2021 2:09:41 PM","CN=COMWORX VPN USERS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/COMWORX VPN USERS"
"MTS_OPT_TEST",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3731","","","2/19/2014 2:47:29 PM","9/23/2021 1:48:22 PM","CN=MTS_OPT_TEST,OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_OPT/MTS_OPT_TEST"
"ZabbixAdmins",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-9203","","","5/18/2020 3:38:17 PM","5/19/2021 4:19:17 PM","CN=ZabbixAdmins,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/ZabbixAdmins"
"HIM",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-11721","","","2/26/2021 12:58:39 PM","9/17/2021 9:54:23 AM","CN=HIM,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/HIM"
"IT Bills",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3764","","","6/4/2014 9:58:57 AM","5/19/2021 4:19:17 PM","CN=IT Bills,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/IT Bills"
